"filename", "language", "Java", "Java Properties", "SQL", "JSON", "Markdown", "XML", "JavaScript", "CSS", "Properties", "HTML", "HTTP", "comment", "blank", "total"
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\uiDesigner.xml", "XML", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 124
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\http\requests.http", "HTTP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 52, 116, 413
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\package-lock.json", "JSON", 0, 0, 0, 18370, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18371
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\package.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\public\assets\oldApp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 5, 13, 118
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 23, 4, 67
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\public\state-boundaries.json", "JSON", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 2, 110
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 10, 15, 127
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\components\About.js", "JavaScript", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 4, 124
